experiment_name,model_name,batch_size,epochs,learning_rate,optimizer,freeze_backbone,epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,1,0.9243700521178586,0.6517553793884485,0.4714245285334173,0.46448850889474214,0.4548301051828577,0.6431560079994505,0.7904509283819628,0.5872982296277012,0.5825300478133087,0.5748240720875348
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,2,0.6050216039201817,0.7921857304643262,0.7972076198687639,0.6090140870197357,0.6132451638440364,0.544773844888419,0.8143236074270557,0.745640487450626,0.6203976948721324,0.6340326098095196
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,3,0.5014493312868095,0.8216308040770102,0.8251528987546343,0.665807768595438,0.6911120760764736,0.5151307759930032,0.7957559681697612,0.7451089110420096,0.6679604224240031,0.6882324623770588
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,4,0.4661911712497439,0.8363533408833522,0.8268910148372034,0.7095338785274028,0.7383558658933497,0.5185385276057044,0.7851458885941645,0.6550181587019237,0.617509431065491,0.6243444937474788
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,5,0.45036526960937784,0.8414496036240091,0.8205218376110134,0.7164285946745153,0.7461407008767035,0.44311814148482975,0.8222811671087533,0.7453624383015887,0.6768640062288898,0.6952659487177864
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,6,0.408993257688504,0.8595696489241224,0.8426415889973562,0.7665716969819656,0.7945825184515112,0.4388233191612861,0.8275862068965517,0.7730408516424091,0.673146685967452,0.6907742426736989
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,7,0.39315505148600344,0.8584371460928653,0.8222700641167079,0.7337780059059766,0.7599805300029137,0.43245029006775876,0.843501326259947,0.7662409742140788,0.7850037833925516,0.7741517855391297
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,8,0.35843283923539004,0.8759909399773499,0.8460064467401451,0.7740761440143666,0.800154118295365,0.41363136996008676,0.8541114058355438,0.7856331425410373,0.7751332412159495,0.779896213939943
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,9,0.35988434622673865,0.8748584371460929,0.8615770120031484,0.7868272541355159,0.814709940695115,0.4147361013396033,0.843501326259947,0.7622847259841098,0.7276250712813089,0.7417260859999149
resnet18_bs32_ep10_lr0.001_adam_4class,resnet18,32,10,0.001,Adam,True,10,0.35281282153702,0.8788221970554927,0.843133864637276,0.773265604388819,0.7982971195154684,0.4227788706040825,0.8488063660477454,0.767022013546798,0.7959136618853357,0.7765867216451798
