experiment_name,model_name,batch_size,epochs,learning_rate,optimizer,freeze_backbone,epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,1,0.8668676070016751,0.6959229898074745,0.5784347323995148,0.498040340333603,0.4920329040681452,0.6018333653240052,0.8143236074270557,0.6239957639497516,0.6021817563714523,0.5976578246315088
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,2,0.5653053074568881,0.8171007927519819,0.8261782731730444,0.6424938850882851,0.6623895327626126,0.4807655042931635,0.8514588859416445,0.8907616649291025,0.7086042023073212,0.750599554728918
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,3,0.48266290754316077,0.8357870894677236,0.8522547590955835,0.687555216964949,0.7200251610723887,0.4333157548853826,0.8647214854111406,0.8961002872486574,0.7440208689739879,0.7871804299201848
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,4,0.42388235668768837,0.8629671574178935,0.817328278552673,0.7284535051016784,0.7544110533205257,0.39299820304233135,0.8726790450928382,0.9041869614087673,0.7511695617844454,0.7946584398538676
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,5,0.41287070418268207,0.8607021517553793,0.8634442043168883,0.739484443352074,0.7745914464629675,0.39219436531674007,0.8726790450928382,0.807132383745287,0.8129690858446288,0.808133848941283
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,6,0.384551467705151,0.8725934314835787,0.849582692493443,0.7736786643716304,0.801276950560242,0.3692242043087906,0.8806366047745358,0.8377294228949859,0.8153762008158967,0.8230244755244756
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,7,0.35010033343008395,0.8941109852774632,0.8839798623920262,0.8046791446704306,0.8339017469617578,0.3439442622882934,0.8806366047745358,0.8711197131044098,0.8152158178707725,0.837936743410368
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,8,0.35505006179669163,0.8799546998867497,0.856069121550746,0.7993834625574647,0.8224611246872342,0.33180262286719975,0.8912466843501327,0.8396900396900397,0.8323726806158704,0.8355158645831857
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,9,0.3348919277080458,0.8776896942242356,0.856602081605236,0.7959353935365225,0.8200698774752399,0.3381317212031438,0.8859416445623343,0.8590686274509803,0.8262860793086809,0.8362348062829605
mobilenet_v2_bs32_ep10_lr0.001_adam_4class,mobilenet_v2,32,10,0.001,Adam,True,10,0.3208685235150943,0.8856172140430351,0.8568756402938766,0.7990739803405981,0.8214556083564488,0.3273981504478252,0.8885941644562334,0.8482174974135873,0.8438484230381189,0.8410615541872078
