experiment_name,batch_size,epochs,learning_rate,optimizer,freeze_backbone,use_weighted_loss,use_augmentation,image_size,epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,1,1.1306435543777988,0.5526613816534541,0.5957446284384319,0.6078265003327191,0.5170425759912818,0.7888770124007916,0.8037135278514589,0.724718075489305,0.8148089660920296,0.7394172387490465
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,2,0.6217274762360993,0.8210645526613817,0.7369789297581879,0.8127480801459651,0.7553019944762531,0.5180226119348794,0.8328912466843501,0.7667705013039698,0.8378421502829319,0.7599555708571054
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,3,0.37618052083598125,0.890713476783692,0.8201300582051118,0.8963101954482189,0.8439448744901613,0.35637222463635615,0.8885941644562334,0.8145940213304363,0.8751362569636355,0.8322576310257096
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,4,0.26752136912648294,0.9229898074745186,0.8732127851397801,0.9210963266717518,0.8930077361963364,0.32965484874159967,0.8859416445623343,0.8070379327333163,0.8719848006316621,0.8231137090463716
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,5,0.18952852949955726,0.948471121177803,0.9060552348618348,0.9472590436374209,0.923498123323252,0.2689697867363138,0.9124668435013262,0.8430191795597802,0.8962615695047594,0.860584439134229
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,6,0.13310636966441794,0.9609286523216308,0.9343188385943837,0.9643352290428288,0.9480387701120623,0.2431589488325448,0.9257294429708223,0.8756866937794363,0.8923550796157389,0.8801287289540782
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,7,0.10321007458026925,0.9711211778029445,0.9548643146416762,0.9745777536307311,0.9642482228132675,0.22183968763136422,0.9336870026525199,0.8713981938142841,0.9119599070053076,0.8842907838004702
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,8,0.08086502369775912,0.9813137032842583,0.9628443666903451,0.9853916151837723,0.9734759271108999,0.22527107129995008,0.9336870026525199,0.871524735497695,0.9122806728955565,0.8859082445187764
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,9,0.0721872846004242,0.984144960362401,0.9705334905406504,0.9848783319599466,0.97744322803424,0.23255697422381738,0.9283819628647215,0.8652482368174044,0.9010500285125236,0.8787493000506539
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,10,0.06568053344502994,0.9813137032842583,0.9669328007882995,0.9788171361387995,0.9725360969165692,0.26279687075146946,0.9336870026525199,0.8806618331455445,0.9122806728955565,0.8925181192481016
