experiment_name,batch_size,epochs,learning_rate,optimizer,epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,1,1.384679901100366,0.5084937712344281,0.4325258196907642,0.4364991993740323,0.42921142192366407,0.9570744998891411,0.7082228116710876,0.6347589725049027,0.6322969921477934,0.6282019158810123
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,2,0.9073979413792879,0.7021517553793885,0.6710535247084257,0.6222196345871233,0.6201835575809379,0.7589887434354827,0.7294429708222812,0.6662256550503337,0.6576308644249333,0.6567261214462707
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,3,0.7635454231723383,0.7616081540203851,0.7419856232671442,0.6948945721331787,0.7043757248625814,0.6694074916586635,0.7586206896551724,0.6965559276073137,0.678682521165483,0.6796588326531966
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,4,0.6746510963882757,0.7684031710079275,0.7550725685611904,0.7073467827982203,0.7174044987035951,0.6213680281247005,0.7692307692307693,0.7415708864190839,0.7064202022062586,0.7138722076858195
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,5,0.6328901037624441,0.7882219705549264,0.7684753060240049,0.737265178253597,0.7469502675148152,0.5846274910934408,0.7904509283819628,0.7721253822426369,0.71025115463594,0.7204803071905269
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,6,0.592104090805907,0.7967157417893544,0.7825468496762952,0.7501544443404464,0.7606022141797449,0.6209564648509341,0.7718832891246684,0.7755494502830821,0.6917621074749459,0.7011517002978865
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,7,0.566148390451347,0.8103057757644394,0.7956707510099602,0.7599299106367643,0.7712573642325395,0.5237028257283988,0.8143236074270557,0.7859968431095615,0.7732048225237579,0.7778061215625715
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,8,0.5364910353350613,0.818233295583239,0.8011990190434463,0.7735330113559299,0.7827257431285731,0.5396683231905222,0.7984084880636605,0.7923316125129919,0.7768770935238055,0.7738470896523438
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,9,0.570587122021823,0.79841449603624,0.7836467249217794,0.7620000828874969,0.7700361878810232,0.49936999756081984,0.830238726790451,0.8055284087892783,0.7900428255664026,0.7960836613667616
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,10,0.5334448751614831,0.8154020385050963,0.7989765906137484,0.7744439513044991,0.783633138284597,0.4842258467282161,0.8355437665782494,0.816332730818116,0.8095689813962057,0.8107938194960557
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,11,0.5002572971184148,0.8295583238958097,0.8227707473221885,0.7875771641053119,0.7995404586183397,0.5156595820773502,0.8090185676392573,0.7860476879706976,0.7759047433877052,0.7744049075572916
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,12,0.5024745360624344,0.8301245753114382,0.8201817451169687,0.8035961369940717,0.8106303289560247,0.4795400625198526,0.8408488063660478,0.8119253361434732,0.8031083072389023,0.8061466869016239
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,13,0.4594597815117237,0.8459796149490374,0.8307432401491749,0.8166815848404364,0.8225886566718893,0.49752655743920204,0.8116710875331565,0.7878433544746621,0.750281956297797,0.7616569709264477
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,14,0.4579511581838874,0.8522083805209513,0.8430253906350605,0.8240204535833943,0.8321028509362273,0.462624322830524,0.8275862068965517,0.810254952810945,0.7965158306215591,0.8009602204890222
resnet18_bs32_ep15_lr1e-3_adam,32,15,0.001,Adam,15,0.4521267632800887,0.8448471121177803,0.834578792340956,0.8131659794860951,0.8215845516268169,0.48115415218970503,0.8249336870026526,0.8094189586233815,0.7664355689268197,0.7800744967477099
