experiment_name,batch_size,epochs,learning_rate,optimizer,freeze_backbone,use_weighted_loss,use_augmentation,image_size,epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,1,0.866369520078834,0.7004530011325029,0.5883930503388654,0.5048842416075338,0.5013998590959832,0.6029196658248295,0.8169761273209549,0.6295022688598979,0.60401999166557,0.5999953918116716
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,2,0.5684556252959091,0.8165345413363534,0.8403224838886605,0.637833624875903,0.6567643256262431,0.49140527204113865,0.843501326259947,0.8820946114974734,0.71080405316489,0.7536674527371816
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,3,0.466352819721399,0.8482446206115515,0.8356398851928064,0.6922969606912273,0.718265290654874,0.4299424542040028,0.8567639257294429,0.8839847259658581,0.7404609159099882,0.7818227658846719
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,4,0.42679414487236084,0.8578708946772367,0.8503954001810958,0.7295424152990423,0.7620722293403848,0.39901368086787053,0.8594164456233422,0.8861439229779962,0.7439331381322104,0.7851025777035874
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,5,0.4079142586831193,0.8703284258210645,0.8773191991203477,0.757129952346357,0.7929954907500864,0.37858635092287546,0.8726790450928382,0.8299978061364004,0.7739666951791901,0.7950303709614094
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,6,0.37839566554245563,0.8708946772366931,0.8638590014568146,0.7725688395786737,0.8037815008566499,0.38281093826344537,0.8779840848806366,0.8692209262876611,0.8052076479361319,0.8271690841174575
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,7,0.3766098133164921,0.8737259343148358,0.8646188550031375,0.7820370809318413,0.8120513274979015,0.35448623162049514,0.883289124668435,0.852566934385986,0.806071522568759,0.8246999165593472
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,8,0.33118691065033323,0.8912797281993206,0.8831890795354536,0.82044928345257,0.8456650000350076,0.345469254081382,0.883289124668435,0.8885295590091855,0.79736451068123,0.8309877384617288
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,9,0.33352061603239413,0.8844847112117781,0.8599334833105408,0.8093456802499311,0.8304480002721034,0.35236254642749654,0.8779840848806366,0.8361735615377999,0.8173430166249945,0.8196115707418118
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,10,0.33378611196207975,0.8793884484711212,0.8446031098237616,0.812534762636228,0.8267319810542011,0.3403624680377444,0.883289124668435,0.8218245182044739,0.8204824099662236,0.8178563970995487
