experiment_name,batch_size,epochs,learning_rate,optimizer,freeze_backbone,use_weighted_loss,use_augmentation,image_size,epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,1,1.0620782770224904,0.6489241223103058,0.6005543101428585,0.6090191931248548,0.5728744660965356,0.6842376856968321,0.8063660477453581,0.7196886139343055,0.7666622801245779,0.7360210556071249
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,2,0.707249008043166,0.8063420158550396,0.7181027289085462,0.7756785489653777,0.7333223416544611,0.5993882223212751,0.8116710875331565,0.7350531320690188,0.81510094529982,0.7399843208794615
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,3,0.5764347429251212,0.8329558323895809,0.751383976521124,0.8309567144146488,0.7702873834636284,0.5217391676232417,0.830238726790451,0.7484940551346801,0.8281289753037681,0.7601886312059757
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,4,0.528988654116677,0.8335220838052095,0.7512332356671979,0.8200369214108834,0.7698487207333318,0.4735294351210961,0.843501326259947,0.7611907422410765,0.8419013466684213,0.778877270643457
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,5,0.4975361081171414,0.840317100792752,0.7625952041456828,0.8377980234589453,0.7839756816599368,0.4777123139138563,0.8143236074270557,0.7433704219682223,0.8188939334122911,0.7422622168853279
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,6,0.4560378283633516,0.8510758776896942,0.776859164718519,0.8497783943800454,0.7990310024766285,0.46297124083541746,0.8328912466843501,0.7611877751309271,0.8252256327586963,0.7585773817746466
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,7,0.44568309873038753,0.8567383918459797,0.785128823943023,0.8567605935241799,0.8091911240007195,0.4489073939917891,0.8355437665782494,0.753587760384568,0.8385017765495459,0.7657250653848873
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,8,0.4050900448759172,0.8765571913929785,0.8082233265670468,0.8741227449996337,0.8317930995052797,0.4031300493355455,0.8488063660477454,0.7673586303977615,0.8423098434004475,0.7854120592573697
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,9,0.3985784553995489,0.8646659116647791,0.7927472081290856,0.8605765948469062,0.8155802902509433,0.4193330860106319,0.8381962864721485,0.755995811808962,0.8303757073299117,0.7665635756344186
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,10,0.39856661429221607,0.8686296715741789,0.7960630735672937,0.871179140640864,0.8206304873037479,0.41909800537068903,0.8594164456233422,0.7774092432040344,0.8529307584331272,0.7900629030638915
