experiment_name,batch_size,epochs,learning_rate,optimizer,freeze_backbone,use_weighted_loss,use_augmentation,image_size,best_val_f1,test_loss,test_acc,test_precision_macro,test_recall_macro,test_f1_macro,train_time_sec,model_size_mb,inference_time_ms_per_image
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,0.8410615541872078,0.37243364999691647,0.8880208333333334,0.8386932404540763,0.8002507064818477,0.816123677570714,1167.4104409217834,8.77204418182373,65.92060190935929
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss0_4class,32,10,0.001,Adam,True,False,True,224,0.8309877384617288,0.3876591467609008,0.8802083333333334,0.8275178112757731,0.7566077552302007,0.7811810035674491,315.7014510631561,8.77204418182373,33.07868726551533
mobilenet_v2_img224_bs32_ep10_lr0.001_adam_freeze1_aug1_wloss1_4class,32,10,0.001,Adam,True,True,True,224,0.7900629030638915,0.4413107391446829,0.8541666666666666,0.767018959738733,0.8130560821623776,0.7800890502265714,302.95509815216064,8.77204418182373,32.68115594983101
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss0_4class,32,10,0.0001,Adam,False,False,True,224,0.8990266678078664,0.21056676019604006,0.9427083333333334,0.9595021120150188,0.8823011192192824,0.9128542349074341,447.77442169189453,8.77234935760498,33.68433564901352
mobilenet_v2_img224_bs32_ep10_lr0.0001_adam_freeze0_aug1_wloss1_4class,32,10,0.0001,Adam,False,True,True,224,0.8925181192481016,0.2541801710613072,0.9348958333333334,0.8764566058672972,0.8849612805038023,0.8796958070414646,428.73769903182983,8.77234935760498,33.64594839513302
