epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,1.6986657767171633,0.32276330690826727,0.2827478372718925,0.2793305020145063,0.2769447487507957,1.4268187075774297,0.5039787798408488,0.4163429994623833,0.42897409658691665,0.41203863230624166
2,1.26042017782801,0.5877689694224235,0.49318680708789336,0.498235586572869,0.48289218691472363,1.1281826189405406,0.6312997347480106,0.5539182554689661,0.5347066678946398,0.5282542828401962
3,1.0334203062349105,0.6727066817667045,0.6054135231942569,0.5839376223837256,0.5735995040886313,0.9491402277579675,0.6949602122015915,0.5917639328656278,0.5955677670671224,0.5831087880658062
4,0.8922517078244132,0.72480181200453,0.705136858926312,0.6465684707999472,0.647886053342497,0.8564921563753083,0.713527851458886,0.6098223106238835,0.614436479673632,0.604297583929464
5,0.8031829699519536,0.7389580973952435,0.7051083606796267,0.6506174652536506,0.6456444034139845,0.7816833287714647,0.7400530503978779,0.6792796244851039,0.6534927822462359,0.6537739063547398
6,0.7498685132336643,0.760475651189128,0.7450443217379128,0.6908554127168619,0.7007295668313444,0.7381006528275083,0.7506631299734748,0.6969712744476895,0.662761148973619,0.6570660160614314
7,0.7019020149553888,0.7785956964892412,0.7678778612172014,0.7145679011207676,0.723821434574937,0.701296656928581,0.7639257294429708,0.7294796001149084,0.6910081489667969,0.7006304345473429
8,0.6626206039032336,0.7904869762174406,0.7763223104428562,0.7262431514136747,0.7380874176505983,0.6649074280926024,0.7771883289124668,0.7458220680805933,0.6953012457106214,0.6999503729918345
9,0.6344115455990335,0.7978482446206115,0.7795994865018653,0.738692255279019,0.7492421806909083,0.6431854028916801,0.7798408488063661,0.7513031736923795,0.7156284835212814,0.7249814759958803
10,0.6146964901300951,0.7967157417893544,0.7827064277568699,0.7563871144444446,0.7656297867275836,0.6282197994325774,0.7931034482758621,0.776701966950302,0.72369636997469,0.737653701340728
11,0.592566446769278,0.7989807474518686,0.7971340261904603,0.7430943214362961,0.7567171062881245,0.6004572885422239,0.8063660477453581,0.7811812850183103,0.7582225940252281,0.766717645072156
12,0.5752364452400942,0.8176670441676104,0.8048974012759126,0.7710285487739568,0.7825956725252309,0.5919005088211687,0.7931034482758621,0.7656744050018564,0.727130772326941,0.7383145911130023
13,0.5528242030473149,0.8261608154020385,0.8139543657938023,0.7820288917309622,0.7927038520056077,0.5807676024399006,0.8116710875331565,0.7981355423176173,0.7820674634848515,0.7881292673622077
14,0.5340547984885737,0.8238958097395244,0.8134096004796231,0.7820975145604453,0.7934775025709565,0.5692677221184383,0.7957559681697612,0.7895383937767059,0.7524564922262472,0.7639374682001724
15,0.5059283705151905,0.8363533408833522,0.8350038095827962,0.7831171871648982,0.797363794704577,0.5553974926629812,0.8196286472148541,0.8059159456613364,0.7894293335516397,0.7953257629248602
